idplaces	place_type	name	full_name	country_code	country	id	longitude	latitude
fbc668775925c40d	city	Jafre	Jafre, España	ES	España	13707	3.0106912	42.0728133
aca78036b5db78a2	city	Ocampo	Ocampo, Durango	MX	México	13708	-105.5067963	26.4424717
1e8fbf2e5c4b7215	neighborhood	Residencial San Agustín	Residencial San Agustín, San Pedro Garza García	MX	México	13709	-100.3434741	25.6561421
7572660c1ed32dfc	neighborhood	La Vena	La Vena, Puerto Vallarta	MX	México	13710	-105.2249659	20.6327574
4c7854aca05798a6	city	Palaja	Palaja, France	FR	France	13711	2.386025	43.175287
07d9da101cc82000	poi	La Plaza Mall	La Plaza Mall	US	United States	13712	-98.23589589999999	26.1848659
52da9ca351dcd21d	city	Catalina	Catalina, AZ	US	United States	13713	-110.9212146	32.5000731
0bb73b482c0b368c	city	Sanzoles	Sanzoles, España	ES	España	13714	-5.5663222	41.43246389999999
78bfaf3f12c05982	country	Bélgica	Bélgica	BE	België	13715	4.469936	50.503887
2b3d939bee093263	city	Valderrodrigo	Valderrodrigo, España	ES	España	13716	-6.508309199999999	41.0652926
627e4aacfdbc52cd	neighborhood	Zona de Profesores	Zona de Profesores, San Andrés Cholula	MX	México	13717	-98.29464499999999	19.0575922
219ca4a74eec8efc	neighborhood	Lomas de San Bernabé	Lomas de San Bernabé, La Magdalena Contreras	MX	México	13718	-99.2633141	19.3134149
01f9627b69f7443c	admin	Aïn Defla                                                                                          	Aïn Defla                                                                                          , Algeria	DZ	Algérie	13719	2.2343122	36.26102059999999
4c41cae3446655f9	city	Guardarraya	Guardarraya, USA	US	United States	13720	NA	NA
0925c103c66a9b1f	city	Sacramento	Sacramento, Coahuila de Zaragoza	MX	México	13721	-101.7247054	27.0033867
73b21b8e14f46d86	neighborhood	Real del Pitic	Real del Pitic, Hermosillo	MX	México	13722	-110.9391982	29.073892
accbffaa32221266	city	Anguciana	Anguciana, España	ES	España	13723	-2.9007452	42.5737713
47c0f54dee1149e2	neighborhood	Volcanes	Volcanes, Tlalpan	MX	México	13724	-99.1750238	19.2696566
392cf6dd161bf28a	city	Eugênio de Castro	Eugênio de Castro, Brasil	BR	Brasil	13725	-54.14695010000001	-28.531169
